VARIAN NAME,FRAGRANT,FORMULA,AQUADEST,ALKOHOL,GENDER,JENIS,UKURAN,HARGA,Cluster,Silhouette
VERBENA PARADISE,SOKOVIA BALADIA,6.25,10.0,83.75,CEWE,EDT,250.0,200000,2,0.3505336431776215
VERBENA PRETTY BLOSSOM,NAVINA PRIMA,4.35,10.0,85.65,COWO,EDP,250.0,200000,2,0.3486291731527417
VERBENA PRETTY BLOSSOM,NAVINA PRIMA,4.35,10.0,85.65,CEWE,BM,100.0,200000,2,0.46493196789163754
VERBENA PURPLE BEAUTY,YANTI S19,3.92,10.0,86.08,CEWE,BM,100.0,200000,2,0.4556162990525421
VERBENA RADIANT,YANTI S19,7.84,10.0,82.16,CEWE,BM,100.0,200000,2,0.48570472273900267
VERBENA VANILLA CREAMY,BIG HUGS,4.17,10.0,85.83,CEWE,BM,100.0,200000,2,0.46115482030777855
VERBENA VICTORIOUS,INVITAS MOOD,8.0,10.0,82.0,COWO,EDT,100.0,200000,2,0.4842177385408983
VERBENA VIOLET VONCE,LOVELY ROSE,20.0,10.0,70.0,COWO,EDT,100.0,200000,2,0.2632738544939056
VLOWLESS  CANDY ADDICT,CANDY STYLE,8.39,10.0,81.61,COWO,EDT,250.0,200000,2,0.3484075425646599
VLOWLESS Bloom,ICE CREAM+VANILLA,5.3,10.0,84.7,UNISEX,EDP,100.0,200000,2,0.4810719272975249
VLOWLESS Bloom,BE FABULOUS,8.5,5.0,86.5,UNISEX,EDP,100.0,200000,2,0.1287408894087505
VLOWLESS Bloom,CASCAVEL,5.3,5.0,89.7,COWO,EDP,50.0,176700,1,0.5829901667602483
VLOWLESS CANDY BLOOM,BLOOMING CHARM,6.69,10.0,83.31,COWO,EDP,250.0,200000,2,0.3504170119600296
VLOWLESS Elegant,LIBRARY OF LOVE,6.6,5.0,88.4,COWO,EDP,100.0,200000,2,0.1233713066862722
VLOWLESS Elegant,ANGEL+VANILLA+TAGAT,9.0,10.0,81.0,UNISEX,SP,100.0,200000,2,0.4698988294328497
VLOWLESS Fresh,SNOW WHITE+GLYCERIN+TAGAT,6.4,10.0,83.6,UNISEX,SP,100.0,200000,2,0.48815661291026147
VLOWLESS LIBRE D FLORAL,LIBRARY OF LOVE,27.78,5.0,67.22,UNISEX,SP,50.0,193600,3,0.12912629335859196
VLOWLESS LOVE ADDICT,NOCTURNE,10.33,10.0,79.67,CEWE,BM,250.0,200000,2,0.3437107748895708
VLOWLESS Mystic,LASPOZAS,9.5,5.0,85.5,CEWE,BM,50.0,179900,1,0.6260245198039164
VLOWLESS Mystic,COCO+DELICA,8.1,5.0,86.9,CEWE,EDP,100.0,200000,2,0.12868426232363897
VLOWLESS Mystic,CAST AWAY,7.8,10.0,82.2,CEWE,EDP,50.0,176400,1,0.4757546514192187
VLOWLESS PURE DPOISON,PURE HEART,6.67,5.0,88.33,UNISEX,EDP,50.0,177800,1,0.6102099164113538
VLOWLESS SPORT D BLACK,SPORT ALLURING,17.65,5.0,77.35,CEWE,BM,50.0,186000,1,0.4674646298938153
VLOWLESS STARDUST,LOVE ENTHUSIAST,5.08,10.0,84.92,CEWE,BM,250.0,200000,2,0.34991238970845323
